index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
12,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,jefferson,2563864556,acute care hospitals,govexnment - hospital distxict ox authoxity,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1xx%,4 patients,al_ami-4
13,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,86x,14 patients,al_ami-5
14,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,xl,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
15,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,jefferson,2563864556,acute care hoxpitalx,government - hospital district or authority,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,empty,0 patients,al_ami-8a
16,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yxs,heart failure,hf-1,heart failure patients given discharge instructions,80%,114 patients,al_hf-1
17,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yxs,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,149 patients,al_hf-2
18,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,jefferson,2563864556,acute care hoxpitalx,government - hospital district or authority,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),92%,37 patients,al_hf-3
19,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - xospital district or autxority,yes,heart failure,xf-4,heart failure patients given smoking cessation advice/counseling,100%,41 patients,al_hf-4
20,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,98%,270 patients,al_ami-1
21,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,99%,516 patients,al_ami-2
22,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attaxk,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96%,71 patients,al_ami-3
23,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,244 patients,al_ami-4
24,x000x,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,99%,441 patients,al_ami-5
25,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,334793870x,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-7a,heart attack patiexts givex fibrixolytic medicatiox withix 30 mixutes of arrival,empty,0 patients,al_ami-7a
26,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,hxustxn,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,72%,40 patients,al_ami-8a
27,10001,southeast alabama medxcal center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,heart failure patients given discharge instructions,78%,455 patients,al_hf-1
28,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,514 patients,al_hf-x
29,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yxs,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,165 patients,al_hfx3
30,10001,xoutheaxt alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,110 patients,ax_hf-4
31,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,93%,191 patients,al_pn-2
32,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospitals,governmenx - hospixal disxricx or auxhorixy,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,89%,12x patients,al_pn-3b
33,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,pnexmonia,pn-4,pneumonia patients given smoking cessation advice/counseling,99%,107 patients,al_pn-x
34,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,92%,196 patients,al_pn-5c
35,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yxs,pneumonia,pn-6,pxeumoxia patiexts givex the most appropriate ixitial axtibiotic(s),80%,147 patients,al_pn-6
36,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,84%,16x patients,al_pn-7
37,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,ax,36302,houston,xx479x8701,acute care hospitals,government - hospital district or authority,yes,surgical infecxion prevenxion,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,72%,79 patients,al_scip-card-2
38,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,hxustxn,33479387x1,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,94%,399 patients,al_scip-inf-1
39,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,334x938x01,acute care hospitals,governmentx-xhospitalxdistrictxorxauthority,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,98%,x05 patients,al_xcip-inf-2
40,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347x38701,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),88x,385 patients,al_scip-ixf-3
41,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,96%,136 patients,al_scip-inf-4
42,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospitxl district or xuthority,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),90%,537 patients,al_scip-inx-6
43,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,housxon,334x938x01,acute care xospitals,gxvernment - hxspital district xr authxrity,yex,surgixal infextion prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,86%,185 patients,al_scip-vxe-1
44,10001,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yex,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,83%,184 patients,al_scip-vte-2
45,1xxx5,marshall medical center south,2505 u s xigxway 431 nortx,empty,empty,boaz,al,x5957,marshall,25x5938310,acute care hospitals,goverxmext - hospital district or authority,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,80%,20 paxienxs,al_ami-1
46,x0005,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,2565938310,acute care hospitals,governmenx - hospixal disxricx or auxhorixy,yex,heart attack,ami-2,heart attack patientx given axpirin at dixcharge,60%,5 patients,xl_xmi-2
47,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,xoaz,xl,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yxs,heart attack,ami-3,heartxattackxpatientsxgivenxacexinhibitorxorxarbxforxleftxventricularxsystolicxdysfunctionx(lvsd),100%,2 patients,ax_ami-3
48,10005,marshall medical cenxer souxh,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,empty,0 patients,al_ami-4
49,1xxx5,mxrshxll medicxl center south,2505 u s highway 431 north,empty,empty,boaz,xl,3x9x7,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,100%,5 patients,al_axi-5
50,10005,maxshall medical centex south,2505 u s highway 431 north,empty,empty,boax,al,3x9x7,marshall,2565938310,acute care hospitals,government - hospxtal dxstrxct or authorxty,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
51,1000x,maxshall medical centex south,2505 u s highway 431 north,empty,empty,boaz,xl,35957,marshall,256593x310,acxte care hospitals,gxvernment - hxspital district xr authxrity,yes,heart attack,amix8a,heart attack patients given pci within 90 minutes of arrival,emptx,0 patients,al_ami-8a
52,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,heart failure patients given discharge instructions,78x,110 patients,al_hf-1
53,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,3x9x7,marshall,2565938310,acxte care hospitals,govexnment - hospital distxict ox authoxity,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,160 patients,al_hf-2
54,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,hexrt fxilure,hx-3,heart failure patientx given ace inhibitor or arb for left ventricular xyxtolic dyxfunction (lvxd),90%,69 patients,al_hf-3
55,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,bxaz,al,35957,marxhall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart failure,xf-4,hxart failurx patixnts givxn smoking cxssation advicx/counsxling,94%,34 patients,al_hf-4
56,1xxx5,marshall medical center south,2505 u s highway 431 north,empty,empty,xoaz,al,3x9x7,marshall,2565938310,acute care hospitals,govexnment - hospital distxict ox authoxity,yex,pneumonia,pn-2,pneumonix pxtients xssessed xnd given pneumococcxl vxccinxtion,97%,172 patients,al_pn-2
57,10005,marshall medical center south,2505 u s xigxway 431 nortx,empty,empty,boxz,al,35957,marshall,25659383x0,acute care hosxitals,government - hoxpital dixtrict or authority,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,97%,120 patients,al_pn-xb
58,10005,marxhall medical center xouth,2505xuxsxhighwayx431xnorth,empty,empty,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,97%,98 patients,al_pn-4
59,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshaxx,2565938310,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,96%,211 patients,al_pn-5c
60,1xxx5,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),92%,175 patients,al_px-6
61,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,2565938310,xcute cxre hospitxls,government - hospital district or authority,yes,pneuxonia,pn-x,pneumonia patients assessed and given influenza vaccination,81%,118 patients,al_pn-7
62,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospitax district or authority,yes,surgicxl infection prevention,scip-cxrd-2,surgeryxpatientsxwhoxwerextakingxheartxdrugsxcalledxbetaxblockersxbeforexcomingxtoxthexhospitalxwhoxwerexkeptxonxthexbetaxblockersxduringxthexperiodxjustxbeforexandxafterxtheirxsurgery,36%,14 patients,al_scip-card-2
63,1xxx5,marshall medical center south,2505 u s highway 431 north,empty,empty,xoaz,al,3595x,marshall,2565938310,acute care xospitals,government - hospital district or authority,yes,surgicalxinfectionxprevention,scip-inf-1,surgeryxpatientsxwhoxwerexgivenxanxantibioticxatxthexrightxtimex(withinxonexhourxbeforexsurgery)xtoxhelpxpreventxinfection,96%,168 patients,al_scix-inf-1
64,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,3595x,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,93%,167 patients,al_scip-inf-2
65,1xxx5,marshall medical center south,2505 u s highway 431 north,empty,empty,boaz,al,3595x,marshall,2565938310,acute care hospitals,government - hospital distrixt or authority,yes,surgical infecxion prevenxion,scxp-xnf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),95%,158 patients,al_scip-inf-3
66,x0005,marshall medical center south,2505 u s highway 43x north,empty,empty,boaz,al,35957,marshall,2565x38310,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inx-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,0 patients,al_scip-inf-4
67,10005,marshall medical center south,2505 u s highway 431 north,empty,empty,xoaz,al,35957,marshall,2565938310,acute caxe hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-6,surgery patxents needxng haxr removed from the surgxcal area before surgery who had haxr removed usxng a safer method (electrxc clxppers or haxr removal cream c not a razor),100%,237 patients,al_scip-inf-6
68,1xxx5,marshall medical center south,2505 u s highway 431 norxh,empty,empty,bxaz,ax,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,xes,surgical infection prevention,scxp-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,7x%,76 patientx,al_scip-vte-1
69,10005,marshallxmedicalxcenterxsouth,2505 u s highway 431 noxth,empty,empty,boaz,xl,3595x,marshall,2565938310,acuxe care hospixals,government - hospital district or authority,xes,surgical infxction prxvxntion,scip-vte-2,patientsxwhoxgotxtreatmentxxatxthexrightxtimex(withinx24xhoursxbeforexorxafterxtheirxsurgery)xtoxhelpxpreventxbloodxclotsxafterxcertainxtypesxofxsurgery,74%,76 patients,al_scip-vte-2
70,10006,eliza coffee memorial hospital,205 marengo sxreex,empty,empty,florence,al,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,97%,159 patients,al_amx-1
71,10006,eliza coffee memorial hospital,205 marengo street,empty,empty,florence,al,3563x,lauxerxale,2567688400,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-2,heaxt attack patients given aspixin at dischaxge,96%,247 patients,al_ami-2
72,1000x,eliza coffee memorial hospital,205 xarengo street,empty,empty,florence,al,35631,lauderdale,2567688400,acute care hoxpitalx,vxluntary nxn-prxfit - xther,yes,hexrt xttxck,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),93x,43 patxents,al_ami-3
73,10006,eliza coffee memorial hospital,205 marengo street,empty,empty,florence,al,35631,laudxrdalx,2567688400,acxte care hospitals,voluntary non-profit - other,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,103 patients,al_ami-4
74,10006,eliza coffee memorial hospital,205 marengo street,empty,empty,florence,al,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,hearx axxack,ami-5,heart attack patients given beta blocker at discharge,96%,227 paxienxs,al_ami-5
75,10006,eliza coffee memorial hospital,205 marengo street,empty,empty,florence,al,35631,lauderdale,2567688400,xcute cxre hospitxls,voluntary non-profit - other,xes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 xatients,al_ami-7a
76,10006,eliza coffee memorial hospital,205 marengo street,empty,empty,florence,al,35631,laudxrdalx,2567688400,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,98%,61 patients,al_ami-8a
77,10006,eliza coffee memorial hospital,205 marengo street,empty,empty,florxncx,al,35631,lauderdale,25676884xx,acute care hospitals,voluntary non-profit - other,yes,heart failure,hf-1,heart faxlure patxents gxven dxscharge xnstructxons,79%,217xpatients,al_hf-1
78,1xxx6,eliza coffee memorial hospital,205 marengo sxreex,empty,empty,florence,al,3x631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,xes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,97%,259 patients,al_hf-2
79,10006,eliza coffee memorial hospital,205 marengo street,empty,empty,floxence,al,35631,lauderdale,25676xx400,acutx carx hospitals,voluntxry non-profit - other,xes,heart failure,hfx3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),82%,84 paxienxs,al_xf-3
80,1xxx6,eliza coxxee memorial hospital,205 marxngo strxxt,empty,empty,florence,al,35631,lauderdale,256x688400,acute care hospitals,voluxtary xox-profit - other,yes,heart failure,hf-4,heart failure patientx given xmoking cexxation advice/counxeling,100%,53xpatients,al_hf-4
81,10006,eliza coffee memorial hospital,205 marengo street,empty,empty,flxrence,al,35631,lauderdale,25x7x88400,acute care hospitals,voluntary non-profit - other,yes,pnexmonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,90%,174 patients,al_pn-2
82,10006,elxza coffee memorxal hospxtal,205 marengo street,empty,empty,florence,al,35631,lauderdale,256x688400,acute care hospitals,voluntaxy non-pxofit - othex,xes,pneumonia,xn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,95%,13x patients,al_pn-3b
83,10006,eliza coffee memorial hospital,205 marengo street,empty,empty,xlorence,al,x56x1,lxuderdxle,x567688400,acute care hospitals,voluntary non-profit - other,yes,pneumonia,xn-4,pneumonix pxtients given smoking cessxtion xdvice/counseling,100%,65 patxents,alxpn-4
84,10006,eliza coffee memorial hospital,205 marengo street,empty,empty,florence,al,35631,lauderdale,2567688400,acutexcarexhospitals,volunxary non-profix - oxher,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,96x,2xx patients,al_pn-5c
85,10006,eliza coffee memorial hospital,205 marengo street,empty,empty,florence,al,x56x1,lauxerxale,2567688400,acute care hospitals,voluntary non-profit - other,yes,pneumonia,pn-6,pneumonix pxtients given the most xpproprixte initixl xntibiotic(s),91%,138 patients,al_pn-6
86,10006,eliza coffee memorial hospital,205 marenxo street,empty,empty,florence,al,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,xes,xneumonia,pn-7,pneumoniaxpatientsxassessedxandxgivenxinfluenzaxvaccination,88%,85 patients,al_pn-7
87,10006,eliza coffee memorial hospital,205 marengo street,empty,empty,florence,ax,35x31,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,scipxcardx2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,96%,107 patients,al_scip-card-2
88,10006,eliza coffee memorial hospital,205 marengo street,empty,empty,florence,al,35631,lauderdale,2567688x00,acute care hoxpitalx,voluntary non-profit - othxr,xes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,xx%,457 patients,al_scipxinfx1
89,10006,eliza coffee memorial hospital,205 xarengo street,empty,empty,florxncx,al,35631,laudxrdalx,2567688400,acute care hospitals,voluntary non-profit - other,xes,surgical infection prevention,xcip-inf-2,surgery patiexts who were givex the  right kixd  of axtibiotic to help prevext ixfectiox,xx%,462 patients,al_scip-inf-2
90,10006,eliza coffee memorial hospital,205 marengo street,empty,empty,florxncx,al,3x631,lauderdale,2567688400,acute care hospitals,volunxary non-profix - oxher,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),94%,439 patients,ax_scip-inf-3
91,10006,eliza coffee memorial hospital,205 marengo street,empty,empty,floxence,al,35631,lauderdale,2567688400,acute care hospitaxs,volxntary non-profit - other,yes,surgical infection xrevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,89%,130 patients,al_scip-inf-4
92,10006,eliza coffee memoxial hospital,205 marengo street,empty,empty,florxncx,ax,35631,lauderdale,2567688400,axute xare hospitals,vxluntary nxn-prxfit - xther,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair rexoved frox the surgical area before surgery who had hair rexoved using a safer xethod (electric clippers or hair rexoval creax c not a razor),100x,619 paxienxs,al_scip-inf-6
93,10006,eliza coffee memorial hospital,205 marengo street,empty,empty,florence,xl,35631,lauderdale,25x7x88400,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,9x%,242 patients,al_scip-vte-1
94,10006,eliza coffee memorial hospital,205 marenxo street,empty,empty,florence,ax,3563x,lauxerxale,25676xx400,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,scix-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,92x,242 xatients,al_scip-vte-2
95,x0007,mizell memorixl hospitxl,702 n main st,empty,empty,oxx,al,36467,xovington,3344933541,acute care hospitals,voluntary non-profit - private,no,heart attack,ami-1,xeart attack patients given aspirin at arrival,60%,5 patients,al_ami-1
96,10007,mizell memoxial hospital,702 n main st,empty,empty,opp,al,36467,covington,3344933541,acutx carx hospitals,voluntary non-profit - private,nx,heart attack,xmi-2,heart attack patients given aspirin at discharge,50%,x patients,al_axi-2
97,10007,mizell memorial hospital,702 n main st,empty,empty,opp,xl,3x4x7,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,0 patients,ax_ami-3
98,x0007,mizell memorial hospital,702 n main st,empty,empty,opp,al,36467,covington,3344933x41,axute xare hospitals,voluntary non-profit - private,no,heaxt attack,axi-4,heart attack patients given smoking cessation advice/counseling,emptx,0 patients,al_ami-4
99,10007,mizell memorial hospital,702 x maix st,empty,empty,opp,al,36467,coxington,xx449xx541,acute care hosxitals,voluntary non-xrofit - xrivate,no,heart attack,xmi-5,heart attack patients given beta blocker at discharge,100x,2 patients,al_ami-5
100,10007,mizell memorial hospital,702xnxmainxst,empty,empty,opp,xl,36467,covington,334493354x,acute care hospitals,voluntary non-profit - private,xo,heaxt attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
101,x0007,mizell memorial hospital,702 x maix st,empty,empty,opp,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,heart attack,ami-8a,hexrt xttxck pxtients given pci within 90 minutes of xrrivxl,empty,0 paxienxs,al_amix8a
